date,reference,description,accountCode,debit,credit,narration
2026-03-05,JV-005,Invoice INV-000001 sale (credit),1100,1006.88,0,"Receivable for INV-000001"
2026-03-05,JV-005,Invoice INV-000001 sale (credit),4000,0,899,"Sales revenue for INV-000001"
2026-03-05,JV-005,Invoice INV-000001 sale (credit),2202,0,53.94,"Output CGST 6% on INV-000001"
2026-03-05,JV-005,Invoice INV-000001 sale (credit),2203,0,53.94,"Output SGST 6% on INV-000001"
2026-03-06,JV-006,Invoice INV-000002 sale (cash),1001,2013.76,0,"Cash received for INV-000002"
2026-03-06,JV-006,Invoice INV-000002 sale (cash),4000,0,1798,"Sales revenue for INV-000002"
2026-03-06,JV-006,Invoice INV-000002 sale (cash),2202,0,107.88,"Output CGST 6% on INV-000002"
2026-03-06,JV-006,Invoice INV-000002 sale (cash),2203,0,107.88,"Output SGST 6% on INV-000002"
2026-03-07,JV-007,Invoice INV-000003 sale (online),1002,1006.88,0,"Bank received for INV-000003"
2026-03-07,JV-007,Invoice INV-000003 sale (online),4000,0,899,"Sales revenue for INV-000003"
2026-03-07,JV-007,Invoice INV-000003 sale (online),2202,0,53.94,"Output CGST 6% on INV-000003"
2026-03-07,JV-007,Invoice INV-000003 sale (online),2203,0,53.94,"Output SGST 6% on INV-000003"
2026-03-08,JV-012,Invoice INV-000004 export (zero-rated),1100,5000,0,"Receivable for zero-rated export invoice INV-000004"
2026-03-08,JV-012,Invoice INV-000004 export (zero-rated),4000,0,5000,"Zero-rated export revenue INV-000004"
2026-03-09,JV-013,Invoice INV-000005 inter-state (IGST),1100,2240,0,"Receivable for IGST invoice INV-000005"
2026-03-09,JV-013,Invoice INV-000005 inter-state (IGST),4000,0,2000,"Sales revenue for IGST invoice INV-000005"
2026-03-09,JV-013,Invoice INV-000005 inter-state (IGST),2201,0,240,"Output IGST 12% on INV-000005"
2026-03-10,JV-014,Invoice INV-000006 cash sale (exempt),1001,799,0,"Cash received for exempt sale INV-000006"
2026-03-10,JV-014,Invoice INV-000006 cash sale (exempt),4000,0,799,"Exempt sales revenue for INV-000006"
